./../../../../large-instances/rp_n100_p0.20_s3.txt,53348,0.031
./../../../../large-instances/rp_n100_p0.20_s2.txt,59989,0.031
./../../../../large-instances/rp_n100_p0.20_s1.txt,64474,0.03
./../../../../large-instances/rp_n200_p0.20_s2.txt,389876,0.127
./../../../../large-instances/rp_n200_p0.20_s3.txt,427897,0.127
./../../../../large-instances/rp_n200_p0.20_s1.txt,350235,0.131
./../../../../large-instances/rp_n300_p0.20_s1.txt,694168,0.344
./../../../../large-instances/rp_n300_p0.20_s3.txt,622142,0.321
./../../../../large-instances/rp_n300_p0.20_s2.txt,573374,0.332
./../../../../large-instances/rp_n400_p0.20_s2.txt,897714,0.825
./../../../../large-instances/rp_n400_p0.20_s1.txt,904857,0.804
./../../../../large-instances/rp_n400_p0.20_s3.txt,972179,0.814
./../../../../large-instances/rp_n500_p0.20_s3.txt,1126927,1.386
./../../../../large-instances/rp_n500_p0.20_s2.txt,961590,1.39
./../../../../large-instances/rp_n500_p0.20_s1.txt,1002728,1.404
./../../../../large-instances/rp_n750_p0.20_s2.txt,1300593,3.406
./../../../../large-instances/rp_n750_p0.20_s3.txt,1623126,3.43
./../../../../large-instances/rp_n750_p0.20_s1.txt,1717616,3.429
./../../../../large-instances/rp_n1000_p0.20_s2.txt,2051590,6.361
./../../../../large-instances/rp_n1000_p0.20_s1.txt,2215860,6.369
./../../../../large-instances/rp_n1000_p0.20_s3.txt,1991827,6.369
