8851873,6860441
8507592,6725386
8376187,6638568
8010490,6369267
8947780,6788520
8579459,6783070
8812699,6852440
8524106,6705665
8790061,6652864
8680089,6822374
8389714,6632764
8804574,6572340
8378824,6590394
8629737,6709252
8278627,6453261
8584356,6800644
8359470,6490414
8078213,6297445
8716690,6710167
8559033,6687395
8725831,6646497
8491350,6693965
8740272,6905863
8536338,6691786
8657649,6482227
8761211,6670296
8346922,6725073
8582107,6548170
8179155,6587752
8518372,6604936
8237892,6778221
7978037,6544380
8467713,6743154
8631055,6673203
8169999,6495573
8605621,6919241
8375824,6523822
8938865,6833941
8551310,6756984
8470474,6746858
8503523,6685109
8275382,6562156
8752070,6813135
8680525,6762228
8686430,7146225
8981153,7040829
8566003,6553777
8468590,6530197
8043720,6215349
9177796,7037442
8861272,6557557
8543271,6646084
8804585,6839896
8147708,6333177
8405638,6528747
8504816,6312278
8773204,6850596
9001772,6974112
8637070,6345840
8274757,6582659
8167310,6505594
8283445,6759547
8543043,6770798
8643258,6800885
8257193,6608306
8850116,6905113
8321425,6584057
8729392,6603702
8709755,6877002
8532145,6466209
8570769,6649102
8436987,6559807
8308174,6527291
8677037,6773031
8529035,6619448
8620489,6889615
8656930,6533560
9079460,6663569
8786802,6774287
8480298,6471851
8477710,6757407
9006120,7031160
8497160,6605335
8776413,6874350
8556102,6902904
8575739,6453226
8624042,6884422
8528219,7078122
8203694,6687048
8327048,6927629
8705574,6886035
8823714,6650801
8685184,6697518
8392143,6669446
9139746,6767441
8771285,6768903
8881359,6650413
8792160,6998234
8393084,6495672
8499851,6436096
8563786,6425874
8736830,6706533
8799441,7059999
8492921,6688034
8327838,6857906
8603594,6797286
8712554,6911831
8755686,6968406
8426970,6566758
8323409,6447256
8998631,6874864
8888063,6943174
8442157,6883721
9169750,7220790
8416030,6768355
8465285,6794347
8631910,6654309
8696831,6781301
8451749,6515377
8936058,6638691
8504989,6630050
8838755,6698967
7793932,6359496
8753857,6575710
8645189,6783519
8288780,6441482
8532546,6408213
8876995,6563878
8488685,6793774
8874297,6830733
8728000,6886779
9092584,6776858
8404384,6576400
8161158,6214203
8159422,6255992
8473859,6836692
8502859,6542627
8650163,6823273
8837080,6887197
8497524,7010593
8687136,6708467
8611245,6713779
8983086,7012939
8654355,6650211
8597003,6602375
8634531,6903214
8669624,6849500
8726933,6684917
8321592,6388103
9075277,6791531
8944974,6771232
8628780,6837297
8594524,6636444
9220388,6922592
8416513,6634458
8529008,6461574
8533042,6589437
8372905,6582470
8467136,6617075
8504373,6428602
8822645,7194794
8651462,6734119
8294578,6605660
8404495,6543952
9142808,6785057
8708445,6953584
8295643,6416845
8791625,6745469
8701573,6755422
8642138,6834529
8846081,6864562
8584080,6629951
8734090,6918756
8685046,6911233
8351228,6633709
9000675,7019809
8440881,6854204
8688877,6749926
8392443,6807961
8335352,6761985
8771855,6835658
8567385,6677026
8966098,6659698
8669760,6688025
8445334,6531855
8563963,6536142
8603046,6699106
8578909,6767475
8727030,6625934
8519877,6801822
8413787,6389481
8633189,6966417
8348590,6495230
8132089,6315912
8670025,6546575
8632885,6972187
8368069,6663800
8106661,6565146
9127989,6987024
8504466,6688225
8182280,6507115
8417119,6604524
8380327,6579224
8581625,6567201
8523826,6792792
8531702,6630572
8807145,6675899
8544344,6794996
8115819,6473756
8617927,6547490
8554124,6798901
8641996,6821080
8481920,6439803
8577879,6843711
8622302,6877436
8530974,6728347
8502710,6803342
8694973,7001166
8426705,6593910
8492599,6801083
8915787,6926414
8922180,6818652
8286561,6430346
7959287,6407820
8652990,6762098
8974683,6834382
8797992,6758296
8432487,6523817
8472574,6454107
8487374,6603536
8303155,6491099
8844465,6904291
8649566,6590932
8538899,6660741
8723674,6861135
8808794,6698389
8498027,6909917
8090006,6570148
8527760,6711066
8229690,6336263
8544439,6436700
8683057,6705116
8903926,6789067
8391806,6520059
8573411,6692683
8892975,6924778
7932675,6409609
8839755,6468204
8717657,6730439
8636627,6685679
8655802,6729183
8740154,6951429
8620133,6728229
8468049,6719543
8306311,6623267
8625022,6923451
