148077;rp_n80_p0.60_s2.txt;66144
104305;rp_n80_p0.60_s2.txt;61995
87127;rp_n80_p0.60_s2.txt;68772
86608;rp_n80_p0.60_s2.txt;62911
98389;rp_n80_p0.60_s2.txt;49320
121569;rp_n80_p0.60_s2.txt;72511
71673;rp_n80_p0.60_s2.txt;55621
162397;rp_n80_p0.60_s2.txt;69981
133485;rp_n80_p0.60_s2.txt;73699
148077;rp_n80_p0.60_s2.txt;66144
104305;rp_n80_p0.60_s2.txt;61995
104305;rp_n80_p0.60_s2.txt;61995
86608;rp_n80_p0.60_s2.txt;62911
91076;rp_n80_p0.60_s2.txt;52368
85813;rp_n80_p0.60_s2.txt;56982
124335;rp_n80_p0.60_s2.txt;67811
