rp_n10_p0.20_s2.txt,110,0.001,71,0.005
rp_n10_p0.20_s3.txt,139,0.002,47,0.004
rp_n10_p0.20_s1.txt,117,0.001,94,0.004
rp_n15_p0.20_s2.txt,495,0.003,260,0.014
rp_n15_p0.20_s3.txt,277,0.004,101,0.017
rp_n15_p0.20_s1.txt,200,0.002,154,0.013
rp_n20_p0.20_s2.txt,595,0.004,595,0.032
rp_n20_p0.20_s1.txt,614,0.003,321,0.03
rp_n20_p0.20_s3.txt,605,0.004,488,0.028
rp_n25_p0.20_s3.txt,1329,0.007,1225,0.06
rp_n25_p0.20_s2.txt,752,0.005,460,0.059
rp_n25_p0.20_s1.txt,1433,0.006,701,0.056
rp_n30_p0.20_s1.txt,2183,0.008,1125,0.089
rp_n30_p0.20_s2.txt,2734,0.008,1655,0.101
rp_n30_p0.20_s3.txt,1638,0.008,850,0.09
rp_n35_p0.20_s2.txt,3562,0.011,4304,0.145
rp_n35_p0.20_s3.txt,2771,0.01,3200,0.146
rp_n35_p0.20_s1.txt,6101,0.01,4828,0.141
rp_n40_p0.20_s3.txt,8799,0.013,5961,0.215
rp_n40_p0.20_s2.txt,5094,0.012,3304,0.21
rp_n40_p0.20_s1.txt,6436,0.013,3756,0.208
rp_n45_p0.20_s3.txt,10623,0.017,7532,0.29
rp_n45_p0.20_s1.txt,6786,0.016,6648,0.295
rp_n45_p0.20_s2.txt,3774,0.015,2134,0.297
rp_n50_p0.20_s2.txt,11239,0.02,8367,0.413
rp_n50_p0.20_s1.txt,10025,0.019,8432,0.392
rp_n50_p0.20_s3.txt,9186,0.019,5178,0.394
rp_n55_p0.20_s2.txt,10923,0.022,8403,0.53
rp_n55_p0.20_s1.txt,15862,0.022,10047,0.519
rp_n55_p0.20_s3.txt,17799,0.022,10207,0.52
rp_n60_p0.20_s3.txt,18441,0.027,13492,0.674
rp_n60_p0.20_s2.txt,19861,0.028,15684,0.707
rp_n60_p0.20_s1.txt,10823,0.028,7206,0.703
rp_n65_p0.20_s3.txt,14989,0.032,14179,0.921
rp_n65_p0.20_s2.txt,25795,0.033,12882,0.922
rp_n65_p0.20_s1.txt,35642,0.032,25227,0.951
rp_n70_p0.20_s2.txt,23037,0.037,13191,1.128
rp_n70_p0.20_s3.txt,42633,0.038,31207,1.134
rp_n70_p0.20_s1.txt,19709,0.039,12712,1.141
rp_n75_p0.20_s3.txt,31700,0.044,19400,1.411
rp_n75_p0.20_s2.txt,37178,0.044,21606,1.421
rp_n75_p0.20_s1.txt,31514,0.044,17409,1.409
rp_n80_p0.20_s3.txt,43492,0.052,28294,1.678
rp_n80_p0.20_s1.txt,64297,0.049,36751,1.66
rp_n80_p0.20_s2.txt,40818,0.05,27951,1.717
