99	100	98	97	95	96	94	90	93	89	92	91	87	88	86	85	84	79	81	83	82	80	76	78	77	70	75	74	72	73	69	71	68	67	66	64	65	58	63	62	60	59	57	61	52	56	55	54	53	45	51	50	49	48	44	47	46	40	43	39	42	41	38	36	34	35	37	32	30	28	31	29	33	24	26	25	27	22	21	23	18	19	17	12	15	20	16	13	10	14	11	3	7	9	8	6	4	1	5	2	
100	99	96	97	95	98	94	93	92	90	91	84	89	88	87	86	82	79	83	81	80	85	77	78	76	69	72	75	71	74	70	67	68	73	66	64	65	55	63	62	60	59	57	61	56	58	54	52	51	47	53	50	49	48	46	45	43	40	44	38	42	41	36	39	31	35	34	33	37	26	29	32	30	28	24	23	25	27	22	20	21	19	18	15	16	17	14	9	12	11	13	2	8	10	7	6	5	4	3	1	
100	97	96	99	98	95	94	92	91	93	90	84	89	88	87	86	85	80	79	83	82	81	76	78	77	74	71	75	70	73	69	68	67	72	66	64	62	63	61	65	59	58	56	60	53	57	55	54	51	45	52	49	50	47	48	46	44	40	42	39	43	41	38	36	29	35	37	34	32	27	33	31	28	30	26	25	22	20	19	24	18	23	16	12	17	15	14	21	8	13	11	6	10	5	4	3	9	1	2	7	
99	100	97	96	95	98	94	93	91	92	90	89	87	88	86	85	82	84	79	81	80	83	76	78	77	69	75	74	73	72	71	70	68	67	66	64	65	56	63	62	61	59	57	60	54	58	55	51	50	43	53	52	49	48	45	47	46	41	40	39	44	38	36	42	35	37	32	31	30	27	29	28	34	26	33	22	24	25	23	19	20	18	17	12	14	21	16	15	13	11	10	7	8	9	6	4	5	3	1	2	
100	98	96	97	95	99	94	91	93	88	92	89	90	87	86	85	84	82	83	81	80	78	79	77	76	69	72	75	71	74	70	67	68	73	66	65	64	56	63	62	61	60	59	58	54	57	55	51	50	44	53	52	49	48	45	47	46	42	43	41	39	38	37	40	35	36	34	33	31	26	32	30	28	29	23	21	25	27	24	20	22	19	18	14	15	17	16	12	11	13	10	3	9	8	6	5	7	4	2	1	
100	98	96	99	95	97	94	92	90	93	89	86	88	91	87	85	84	81	79	82	80	83	77	78	76	69	75	74	73	72	70	67	68	71	66	64	65	61	63	60	62	58	56	59	54	57	55	52	51	44	53	50	49	48	45	47	46	43	41	40	42	37	35	39	32	36	33	30	38	29	28	34	31	25	26	27	24	23	22	21	20	19	18	16	14	17	13	15	11	10	12	4	6	9	8	5	7	1	3	2	
99	100	97	98	96	95	94	91	93	89	92	83	90	88	87	86	85	81	80	84	82	79	76	78	77	71	75	74	73	69	68	72	66	67	65	70	64	58	62	63	61	60	56	57	53	59	55	54	50	47	52	51	49	48	45	46	43	42	44	40	39	38	37	41	28	34	35	33	36	29	31	32	27	30	23	26	25	24	22	20	19	18	17	16	14	21	15	9	11	12	13	1	6	10	8	5	7	4	3	2	
100	99	98	97	96	95	94	93	92	89	91	85	90	88	87	86	83	84	80	82	81	79	77	78	76	74	75	73	71	72	70	68	69	67	66	64	65	58	63	61	62	60	56	57	54	59	55	52	51	46	53	49	50	48	45	47	43	39	44	38	42	41	37	40	36	35	33	31	34	26	30	29	32	28	27	21	24	25	23	20	22	19	17	13	18	16	15	12	14	11	9	3	6	8	7	5	10	2	4	1	
100	99	98	97	95	96	93	89	92	94	91	85	90	88	87	86	84	83	80	82	81	79	77	78	76	72	71	75	70	74	69	73	68	67	66	64	65	55	63	62	60	59	61	57	56	58	54	52	51	43	53	49	50	48	45	47	46	44	40	42	39	38	35	41	34	37	32	30	36	31	29	33	28	27	25	23	24	26	21	22	20	19	17	14	15	18	16	9	11	13	12	1	8	10	7	5	6	4	2	3	
100	97	96	99	98	95	94	92	93	91	89	83	88	90	87	86	85	79	81	84	82	80	76	78	77	70	73	75	72	74	71	67	69	68	66	64	65	62	63	60	61	58	56	59	54	57	55	52	51	45	53	50	49	48	42	47	46	43	38	40	41	37	35	44	33	36	32	31	39	28	30	34	29	25	27	26	23	21	20	24	19	22	18	12	17	16	15	14	9	13	10	1	6	8	7	5	11	4	2	3	
